Date,T_noon,RH_noon,Wind_noon,Precip_24h,FFMC,DMC,DC,ISI,BUI,FWI
2025-05-01,5.6,60.0,23.0,0.0,84.95,6.71,18.41,6.67,7.02,6.01
2025-05-02,11.8,36.0,12.0,0.0,87.5,8.88,22.94,5.48,9.03,5.62
2025-05-03,19.1,69.0,14.0,3.2,68.53,9.57,30.74,1.21,10.76,0.76
2025-05-04,9.5,93.0,8.0,20.3,18.55,4.21,7.63,0.0,4.06,0.0
2025-05-05,7.2,54.0,8.0,1.9,41.34,1.01,11.33,0.07,1.65,0.02
2025-05-06,17.2,32.0,22.0,0.0,78.36,4.28,16.83,2.94,5.23,1.93
2025-05-07,16.0,79.0,20.0,0.3,80.23,5.23,22.11,3.19,6.57,2.54
2025-05-08,19.2,66.0,22.0,9.4,60.4,4.05,19.31,1.27,5.31,0.56
2025-05-09,3.4,88.0,20.0,0.0,65.66,4.19,22.33,1.48,5.7,0.68
2025-05-10,10.7,98.0,11.0,0.2,66.28,4.25,26.66,0.96,6.08,0.45
2025-05-11,8.9,74.0,18.0,11.2,40.39,2.29,18.84,0.09,3.51,0.03
2025-05-12,10.6,51.0,13.0,0.3,66.0,3.8,23.15,1.06,5.38,0.47
2025-05-13,5.6,70.0,28.0,0.0,74.77,4.32,26.57,3.1,6.15,2.34
2025-05-14,18.6,38.0,24.0,0.0,86.71,7.54,32.32,8.97,9.52,9.04
2025-05-15,26.4,41.0,13.0,0.0,89.63,11.81,39.47,7.83,13.51,9.51
2025-05-16,9.1,71.0,14.0,0.0,85.38,12.59,43.52,4.49,14.61,6.02
2025-05-17,13.7,43.0,12.0,0.0,86.96,14.81,48.39,5.08,16.78,7.29
2025-05-18,10.6,82.0,29.0,0.0,82.53,15.37,52.7,6.56,17.77,9.41
2025-05-19,10.5,94.0,5.0,1.8,60.32,23.75,56.99,0.54,23.73,0.54
2025-05-20,6.0,82.0,27.0,1.3,62.01,24.09,60.48,1.79,24.14,3.14
2025-05-21,6.9,80.0,23.0,0.0,70.43,24.51,64.12,2.02,25.07,3.73
2025-05-22,8.4,77.0,13.0,0.0,75.3,25.08,68.04,1.5,26.11,2.68
2025-05-23,5.5,95.0,15.0,11.1,22.55,12.55,58.53,0.0,16.34,0.0
2025-05-24,12.3,68.0,10.0,18.4,31.89,6.57,37.39,0.01,9.13,0.01
2025-05-25,7.5,92.0,5.0,2.4,27.47,9.41,41.14,0.0,11.97,0.0
2025-05-26,7.0,85.0,12.0,0.7,40.68,9.73,44.8,0.07,12.61,0.05
2025-05-27,12.5,62.0,12.0,0.0,64.3,11.09,49.46,0.94,14.21,0.69
2025-05-28,20.0,49.0,8.0,0.0,80.88,13.92,55.46,1.87,17.11,2.51
2025-05-29,25.0,37.0,20.0,0.0,89.44,18.25,62.37,10.83,21.08,15.34
